post_id,tweet,subject_keyword,sentiment
1,Dj and Rayudu Bond Peak male content #CSK #dhoni #IPL2026 #IPL,CSK,positive
2,Slower One delivery from Nathan Ellis #CSK #RCB #GTvsRCB #RCBvsGT #IPLFinal,CSK,neutral
3,We used to own RCB with finished Uthappa and Dube. #IPL2026 #CSK - Those are the days.. https:// x.com/Tharabaaaphuu/ status/2060572712964325558/video/1 …,CSK,negative
4,That Overton anger costed us FairPlay Award. #IPL2026 #CSK,CSK,neutral
5,"Here is what R Ashwin said on live: ""PRASANNA HAMZA ALI"" VC: @ashwinravi99 YT #IPL2026 #CSK #RCB",CSK,neutral
6,"From years of heartbreak to building a champion legacy #RCB have now entered the elite club of back-to-back IPL winners, joining the likes of #MI and #CSK. What once felt impossible is now history. #ViratKohli ’s era of belief has finally transformed into an era of dominance.",CSK,neutral
7,"PDogg says he is from Tamil Nadu and played till U23. When it comes to #RCB or #CSK, his support will always be for RCB. Trolling is okay, but we shouldn't abuse anyone. #IPL2026 #RCBvGT VC: @ashwinravi99 YT",CSK,positive
8,Hardik Pandya trade is on and #CSK will definitely be interested. Hardik Pandya Dube + Khaleel - Hanuma Vihari - well explained #IPL2026 VC: @Hanumavihari YT,CSK,neutral
9,We lost a trophy from here!! What were you thinking after from Watson? #IPL2026 #CSK,CSK,positive
10,My Player Ratings: #CSK IPL 2026 Ruturaj:- 6.8/10 (Captain 6/10) Sanju Samson:- 9.6/10 Ayush Mhatre:- 8.8/10 Kartik Sharma:- 7/10 Shivam Dube:- 5/10 Dewald Brevis:- 4.5/10 Sarfaraz Khan:- 6/10 Urvil Patel:- 7/10 Jamie Overton:- 9.2/10 Anshul Kamboj:-,CSK,neutral
11,No Look Pro Max #Brevis #CSK #IPL,CSK,neutral
12,"Retirement or one more season? As speculation over MS Dhoni's future refuses to die down, @VTrips_7781 tries to connect the dots and explore what could be next for the CSK talisman. @Wowmomo4u #CSK #IPL #MSDhoni",CSK,neutral
13,Scenes at Chepauk in IPL 2027 #CSK #IPL2026,CSK,neutral
14,"If we somehow get Hardik, we should give Sai Kishore a chance. That would allow Ellis to slot into the playing XI #CSK #IPL2026",CSK,neutral
15,"Back to back trophies won: #CSK - 2010, 2011 #MI - 2019,2020 #RCB - 2025,2026 Once again congratulations RCB. #IPL2026",CSK,positive
16,"Dear Stephen Fleming, Thank you for the 5 trophies and the memories. But as #CSK fans, we're tired. For years we've watched the same mistakes repeat with wrong combinations, players used out of position, and performers dropped without backing. The painful part? Every fan could",CSK,positive
17,From 50 off 20 to 22 off 15!! Remember the name - Ambati Rayadu #IPL2026 #CSK,CSK,neutral
18,Troll chesina antha Easy kadhu ra Trophies kottadam #CSK #WhistelPodu #Msdhoni #Yellove,CSK,negative
19,How did we not sign him? #CSK @ChennaiIPL bruhhh #IPL2026,CSK,neutral
